Title,O*NET-SOC Code,Reading Comprehension - IM,Reading Comprehension - LV,Active Listening - IM,Active Listening - LV,Writing - IM,Writing - LV,Speaking - IM,Speaking - LV,Mathematics - IM,Mathematics - LV,Science - IM,Science - LV,Critical Thinking - IM,Critical Thinking - LV,Active Learning - IM,Active Learning- LV,Learning Strategies - IM,Learning Strategies- LV,Monitoring - IM,Monitoring - LV,Social Perceptiveness - IM,Social Perceptiveness - LV,Coordination - IM,Coordination - LV,Persuasion - IM,Persuasion - LV,Negotiation - IM,Negotiation - LV,Instructing - IM,Instructing - LV,Service Orientation - IM,Service Orientation - LV,Complex Problem Solving - IM,Complex Problem Solving - LV,Operations Analysis - IM,Operations Analysis - LV,Technology Design - IM,Technology Design - LV,Equipment Selection - IM,Equipment Selection - LV,Installation - IM,Installation - LV,Programming - IM,Programming - LV,Operations Monitoring - IM,Operations Monitoring - LV,Operation and Control - IM,Operation and Control  - LV,Equipment Maintenance - IM,Equipment Maintenance - LV,Troubleshooting - IM,Troubleshooting - LV,Repairing - IM,Repairing - LV,Quality Control Analysis - IM,Quality Control Analysis - LV,Judgment and Decision Making - IM,Judgment and Decision Making - LV,Systems Analysis - IM,Systems Analysis - LV,Systems Evaluation - IM,Systems Evaluation - LV,Time Management - IM,Time Management - LV,Management of Financial Resources - IM,Management of Financial Resources - LV,Management of Material Resources - IM,Management of Material Resources - LV,Management of Personnel Resources - IM,Management of Personnel Resources - LV
"Hairdressers, Hairstylists, and Cosmetologists",39-5012.00,3,3,3.88,3,2.88,2.88,3.75,3,2.38,2,1.62,1,3.38,3.5,3.25,3,2.88,3,3,3,3.12,3.12,2.88,2.5,2.88,2.75,2.75,2.38,2.88,3,3.62,3.25,3,2.88,2.5,1.88,1.75,1,1.75,1.12,1,0,1.38,0.38,2,1.62,1.38,0.5,1.38,0.38,1.5,0.62,1,0,1.62,1,3.25,2.5,2.25,2.12,2.25,2.25,3,2.62,1.5,0.75,1.88,1.12,2.5,2.25
"Makeup Artists, Theatrical and Performance",39-5091.00,3.25,3.25,3.25,3.25,2.75,2.75,3.5,3.12,2,2.12,1.62,0.62,3.12,3.25,3,3.25,2.5,2.5,3,3.12,3,3,3,3.12,2.62,2.62,2.5,2.38,2.62,2.75,2.75,2.88,2.88,2.75,2.62,2.62,1.75,0.88,1.62,0.62,1,0,1.25,0.25,1.88,1.5,1,0,1,0,1.62,0.62,1,0,2.25,2.25,3.12,3,2.5,2.38,2.38,2.25,2.88,2.88,2.62,2.75,2.62,2.5,2.38,2.25
Manicurists and Pedicurists,39-5092.00,2.75,2.12,3,2.75,2.12,1.88,3,2.62,1.88,1.25,1,0,2.5,2.5,2.75,2.25,2.12,1.88,2.62,2.12,3,2.62,2.75,2.25,2.62,2.12,2.5,2.12,2.12,2,3,2.62,2.25,2,1.5,0.5,1.75,0.88,1.5,0.62,1,0,1,0,1.5,0.88,1.12,0.12,1,0,1.38,0.38,1,0,1.75,1.38,2.38,2.12,2,1.75,2,1.75,2.75,2.12,1.38,0.38,1.5,0.5,2,1.88
Shampooers,39-5093.00,2.5,2.25,3.12,2.62,2.38,2,3.25,2.5,1.62,1.12,1,0,2.5,2.12,2.25,2,2,1.75,2.75,2.38,2.75,2.62,2.75,2.62,2.38,1.62,2.25,1.62,2.12,2,3,2.75,2.12,1.88,1.12,0.25,1.38,0.38,1.38,0.38,1,0,1,0,2.12,1.62,1.25,0.38,1,0,1.38,0.62,1,0,1.5,0.62,2.5,2.12,1.5,0.75,1.5,0.75,2.5,2.25,1.38,0.5,1.38,0.38,2,1.62
Skincare Specialists,39-5094.00,3.12,3.12,3.5,3.12,2.38,2.75,3.62,3,1.5,0.62,1.38,0.62,3,3,3.12,2.88,2.88,2.75,3,3,3,2.88,3,2.88,2.62,2.5,2.5,2.38,2.75,2.75,3.5,3.38,2.75,2.88,2,1.75,1.38,0.38,1.75,1,1,0,1,0,2,1.62,1.75,0.88,1,0,1.38,0.5,1,0,1.88,1.12,2.88,3.12,2,1.88,2,1.88,2.88,2.75,1.12,0.12,1.38,0.5,2,2
Baggage Porters and Bellhops,39-6011.00,2.88,2.62,3.62,3.12,2.75,2.12,3.62,2.62,2,1.88,1,0,3,2.75,2.25,2.12,2.25,2,2.88,2.25,2.88,2.38,3,2.75,2.25,2.12,2.25,2.12,2.5,2.5,3.75,3,2.88,2.12,1.12,0.25,1.25,0.25,1.5,0.5,1,0,1.25,0.25,2.38,2.12,2.38,2.12,1.62,0.75,2,1.75,1.62,0.75,2,1.62,2.75,2.25,2.12,2,2,2.12,2.88,2.25,1.88,1,1.88,1,2.12,2.25
Concierges,39-6012.00,3,3.25,4,3.88,2.75,2.88,4,3.38,2,2,1,0,3.25,3.62,2.88,2.88,2.25,2.12,3,3,4.12,3.12,3.5,3,3,2.88,2.75,2.88,2.25,2,4.25,4,2.88,2.62,1.38,0.5,1.62,0.75,1,0,1,0,1.38,0.38,1.5,0.62,1.38,0.38,1,0,1,0,1,0,1.38,0.38,3,2.75,2.12,2,2.12,1.88,2.88,2.75,1.62,0.88,1.62,1.12,2.38,2.12
Tour Guides and Escorts,39-7011.00,3,3,3.25,3.12,2.25,2.25,3.88,3.25,2,1.12,1,0,2.88,3.12,2.25,2.38,2.25,2.62,3,3,3.25,3,3,3,2.62,2.12,2.12,2,2.38,2.25,3.12,2.88,2.12,2.12,1.75,0.88,1.62,0.62,1,0,1,0,1,0,1.75,0.88,1.12,0.12,1,0,1,0,1,0,1.25,0.25,2.75,2.12,1.62,1,1.88,1,3,2.12,1,0,1.25,0.38,2,1.62
Travel Guides,39-7012.00,3.25,3.75,3.88,4,3.12,3.25,4,3.25,2.5,2.5,1,0,3.12,3.75,3.12,3,2.75,3,3,3.12,3.88,3.25,3.75,3.62,3.75,3.38,3.12,3.38,2.75,3,4.12,3.88,3.12,3.12,2,1.62,1.75,1,1.5,0.5,1,0,1.88,1,2,2.12,2.12,2,1,0,1.5,0.5,1.12,0.12,2.12,1.5,3.12,3,2.75,2.62,2.62,2.62,3.25,3,2.62,2.38,2.75,2.38,2.88,2.75
Childcare Workers,39-9011.00,3,3,3.12,3,3,2.88,3.12,3,2.12,1.88,1.12,0.12,3.12,3,3,3,3,3.12,3.5,3.12,3.25,3.25,3.12,3,2.88,2.88,2.75,2.62,3,2.88,3.38,3.25,3,2.88,1.12,0.12,1.75,0.88,1,0,1,0,1,0,1.88,1.5,1,0,1,0,1.88,1.12,1,0,2,1.88,3,3,2.38,2.12,2.38,2.25,2.88,2.88,1,0,1.25,0.25,2.25,2.12
Nannies,39-9011.01,3,3,3.88,3,3,2.88,3.75,3,1.62,0.75,1.62,0.62,3.62,3.12,3,3,3.25,3.12,3.88,3.5,3.88,3.75,3.5,3.12,3.62,3.12,3,3,3.25,3,3.75,3.5,3.38,3,1.88,1,1.88,1,1,0,1,0,1,0,1.88,1.25,1.88,1.25,1,0,1.38,0.38,1,0,1.88,1.12,3.62,3,2.12,2,2.88,2.5,3.5,3,2,1.38,2,1.62,2.38,2.12
Exercise Trainers and Group Fitness Instructors,39-9031.00,2.88,3.12,3.25,3.25,2.75,2.75,3.5,3.25,1.75,0.75,1.62,0.62,3,3.12,3,2.88,3.25,3.62,3.25,3.62,3.25,3.25,3,3,3,3,2,1.75,4,3.62,3.88,3.25,2.88,2.75,2.38,2.12,1.75,0.88,1.62,1,1,0,1.25,0.25,1.75,1.5,1.75,0.88,1.75,0.88,1.88,1.62,1.25,0.25,1.88,1.62,3,2.88,2.38,2.12,2.25,2.5,2.88,2.88,1.12,0.12,1.75,0.88,2.38,2.25
Recreation Workers,39-9032.00,3.12,3.25,4,4,3.12,3.12,4,4,2.12,2,1.62,0.62,3.25,3.62,3.12,3.12,3.12,3.12,3.75,3.38,4,4,4,4,3.12,3.12,3,2.88,3.75,3.38,4,3.75,3.12,3,2,1.88,1.88,1,1.38,0.38,1,0,1.38,0.38,2,1.75,1.62,0.75,1,0,1.88,0.88,1,0,1.88,1.5,3,3,2.88,2.75,2.75,2.75,3.25,3.12,2,2.12,2.62,2.38,3.12,3.38
Residential Advisors,39-9041.00,3.12,3.38,3.88,3.88,3,3,3.75,3.88,2,2,1.38,0.38,3.62,4,3,3,2.75,2.88,3.75,3.62,4,3.5,3.75,3.38,3.38,3,3.62,3,2.88,3,3.62,3.12,3.12,3,2,1.75,1.88,0.88,1,0,1,0,1.38,0.5,2,2,1.75,1,1,0,1.75,0.88,1,0,2,1.25,3.12,3.12,2.75,2.88,2.75,2.75,3.62,3.25,2.12,2,2.25,2.12,2.88,3
First-Line Supervisors of Retail Sales Workers,41-1011.00,3,3.88,3.88,3.62,3,3.62,3.75,3.88,2.75,3,1,0,3.5,3.88,3,3.38,3,3.5,3.5,3.88,3.5,3.75,3.5,3.62,3.25,3.62,3.25,3.62,3.25,3.62,3.75,3.75,3,3.5,2.5,2.12,1.88,0.88,1,0,1,0,1.75,1,1.88,1.5,1.5,0.88,1,0,1.38,0.38,1,0,2.12,2,3.12,3,3,2.88,3,3,3.12,3.62,2.5,2.75,2.62,2.75,3.25,3.62
First-Line Supervisors of Non-Retail Sales Workers,41-1012.00,3.62,4.12,4,4,3.62,4,4,4,3,3,1,0,3.62,3.88,3.5,3.62,3.25,3.62,4,4.25,3.88,4,3.88,4,3.75,3.88,3.62,3.75,3.25,4,3.12,3.12,3.62,3.62,2,2.12,1.5,0.5,1,0,1,0,1.5,0.62,1.75,1,1.62,0.88,1,0,1.12,0.12,1,0,2.25,2,3.88,3.88,3.12,3.12,3.12,3.5,3.88,4,2.88,3,2.88,3,4,4
Cashiers,41-2011.00,2.88,2.62,3.12,2.88,2.25,2.38,3.12,2.88,3,2.25,1,0,2.88,2.62,2.38,2.25,2.12,2.12,2.88,2.5,3,2.62,2.88,2.62,2.62,2.12,2.62,2.12,2.62,2.25,3.25,2.75,2.25,2.12,1.12,0.25,1,0,1,0,1,0,1.12,0.12,1.88,1.62,1.88,1.38,1,0,1.5,0.5,1,0,1.62,0.75,2.88,2.12,2,2,2,1.75,2.88,2.62,1.5,0.5,1.5,0.5,2.25,2.38
Gambling Change Persons and Booth Cashiers,41-2012.00,3.12,3,3,3,2.75,2.62,3,2.75,2.88,2.5,1,0,2.88,2.88,2,2.12,2,2.12,2.88,2.5,3,2.12,3,2.38,2.62,2.25,2.62,2.12,2.38,2.12,3,2.88,2.88,2.25,1.12,0.25,1,0,1.62,1,1,0,1.25,0.38,2.38,2.12,2,1.75,1.62,1,2.12,1.75,2,1.62,2.25,2,2.75,2.12,2,1.62,2,1.5,2.38,1.75,2.12,1.12,2,1,2.25,2.12
Counter and Rental Clerks,41-2021.00,3.25,3.12,3.75,3.12,3,3,3.38,3,2.25,2.25,1,0,3.12,2.88,2.75,2.25,2.12,2,3,2.88,3.12,2.88,3,3,2.88,2.88,2.88,2.88,2.5,2.62,3.38,3.25,2.75,2.38,1,0,1.62,0.75,1.62,0.75,1,0,1.38,0.5,2.38,2.25,2,2,1.62,0.62,1.62,1,1.62,0.62,1.62,1,2.88,2.25,2,1.88,2,1.88,3,2.38,2,1.75,2.12,1.88,2.38,2.25
Parts Salespersons,41-2022.00,3.62,3.12,4,3.88,3,2.75,4,3.38,2.75,2.5,1,0,3.25,3.25,2.88,3.12,2.38,2.12,3.12,3,3.38,2.88,2.88,3,3.75,3.25,2.88,3,2.88,2.5,3.62,3.12,2.88,2.88,1.25,0.25,1.5,0.5,2.12,2,1,0,1.38,0.38,2.25,2.12,2,2,1.88,1.75,2,1.75,1.88,1.75,2.12,2.12,3,2.88,2.25,2,2.12,2,3,2.75,1.5,0.5,2.12,1.62,2.12,2
Retail Salespersons,41-2031.00,3,3.12,3.75,3.75,3,3,3.75,3.12,2.62,2,1,0,3.12,3.12,3,2.88,2.62,2.25,3,3.12,3.5,3.12,3,3,3.88,4,3.5,3.75,2.88,2.75,3.75,3.88,2.75,2.5,1.5,0.62,1.88,1,1,0,1,0,1.25,0.25,2,1.5,2,1.38,1,0,1.75,0.88,1,0,2,1.25,2.88,2.75,2,1.88,2,2,3,2.88,2.12,1.25,2,1,2.38,2.12
Advertising Sales Agents,41-3011.00,3.38,3.88,3.75,4,3.12,3.38,4.12,4,2.75,2.75,1,0,3.25,3.75,2.88,3.62,2.62,2.62,3,3.38,3.88,3.62,3.12,3.25,4,4,3.75,3.88,2.25,2.75,3.88,3.75,3,3.12,2.12,2,1.88,1.12,1,0,1,0,1.88,1.12,2,2,2,2,1,0,1,0,1,0,1.62,0.75,3.25,3.25,3,2.88,2.12,2.75,3,3,2,1.88,2,1.75,2.38,2.38
Insurance Sales Agents,41-3021.00,4,4,3.88,4,3.62,3.62,3.88,4,3,3,1.12,0.12,3.75,3.88,3,3.38,2.75,2.75,2.88,3,3.12,3,3,3,3.62,3.88,3.25,3.38,2.62,2.88,3.38,3.5,2.88,3.12,1.88,1.5,1.75,0.75,1,0,1,0,1.75,0.75,1.75,1.25,1.75,1,1,0,1,0,1,0,1.12,0.12,3,3.25,2.75,3,2.75,3,3.5,3,1.25,0.25,1.12,0.12,2,1.88
"Securities, Commodities, and Financial Services Sales Agents",41-3031.00,3.5,3.75,3.75,3.88,3.38,3.5,3.5,3.75,3.12,3.25,1.25,0.38,3.75,3.75,3.5,3.75,2.62,2.88,3.62,3.75,3.38,3.25,2.88,3.12,3.5,3.62,3,3.25,2.88,3.25,3.25,3.62,3.38,3.5,2,1.62,1.62,0.88,1.12,0.38,1.12,0.12,1.88,1.5,1.62,0.88,1.12,0.12,1.12,0.12,1.12,0.12,1,0,1.38,0.88,3.62,3.5,3.25,3.38,3.12,3.62,3.12,2.88,3.12,2.75,2,1.38,2.75,2.62
Travel Agents,41-3041.00,4,3.75,4.12,4,3.12,3,4,3.12,2.88,2.5,1.25,0.25,3.12,3.75,3.12,3.12,2.5,2.25,3,2.88,3.75,3.12,3.12,2.88,3.62,3.5,3.12,3.25,2.62,2.62,4.12,4,3,2.88,1.75,1.25,1.75,0.88,1.12,0.12,1,0,1.75,0.75,1.75,0.75,1.62,0.62,1,0,1,0,1,0,1.25,0.25,3.38,3,2.38,2,2.25,2,3,2.88,2.12,2,1.75,0.75,1.88,1.62
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",41-4011.00,3.75,4.12,4.12,4.12,3.38,3.62,4.25,4,2.88,2.88,1.5,0.62,3.38,3.75,3.5,3.75,2.75,3,3.12,3.12,3.88,3.75,3.62,3.38,4.25,4,4,4,2.88,3.12,3.75,3.38,3.38,3.12,2.12,2.5,2,1.62,1.62,0.62,1,0,2,1,1.88,1.62,2,1.25,1,0,1,0,1,0,1.88,1.12,3.12,3.38,2.88,3,2.12,2.62,3.12,3,2.62,2.62,2.5,2.5,2.62,2.5
Solar Sales Representatives and Assessors,41-4011.07,3.5,3.88,3.88,3.75,3.25,3.38,4,3.88,2.75,3.25,1.38,0.88,3.5,3.75,3.12,3.38,2.5,2.5,3.12,3.38,3.5,3.38,3.12,3.38,3.5,3.75,3.38,3.5,2.75,3.12,3.62,3.62,3.25,3.12,2,1.88,1.88,1.5,1.25,0.62,1.12,0.12,1.62,0.75,1.75,1.25,1.75,1.5,1,0,1.62,1.12,1,0,2,2,3.12,3.12,2.75,2.88,2.62,3,3,2.75,2.12,2,1.88,1.5,2.38,2
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",41-4012.00,3.38,3.75,4,4,3.25,3.25,4,4,2.25,2.25,1,0,3.5,3.75,3.12,3.25,2.25,2.12,3.12,3.25,3.75,3.5,3.12,3.12,3.75,4,3.75,3.88,2.75,2.75,3.12,3.12,3.12,3,1.75,1.25,1.62,0.75,1,0,1,0,1.5,0.5,1.62,0.75,1.75,1,1,0,1,0,1,0,1.25,0.38,3.12,3,2.25,2.12,2.25,2.12,3,3,1.88,1,1.88,1,1.88,1.75
Demonstrators and Product Promoters,41-9011.00,3.25,3.25,3.88,3.62,3,3,3.88,3.88,2.12,1.88,1,0,3,3,2.88,3,2.75,2.75,3,3.12,3,3.25,3,3.25,3.5,3.88,2.38,2.88,2.38,3,3.25,3.12,3,2.38,2,2,1.88,0.88,1,0,1,0,1.12,0.12,2.12,2,1.75,0.88,1,0,2,1.62,1,0,2.12,1.88,3,2.62,2.12,2,2.25,2.12,3,2.88,1.62,0.62,1.62,0.88,2.38,2.38
Models,41-9012.00,2.5,2,2.75,2.62,2,2,2.75,2.12,1.25,0.25,1,0,2.62,1.88,1.88,1.62,1.12,0.12,1.88,1.75,2.88,2.62,2.62,2,2,1.75,2,1.75,1.25,0.38,1.88,1.62,1.88,1.75,1.38,0.38,1.5,0.5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1.12,0.12,2.12,1.88,1.75,0.75,1.12,0.12,2.5,2,1,0,1,0,1.5,0.75
Real Estate Brokers,41-9021.00,3.88,4.12,3.88,4,3.38,3.5,4,4,2.88,3,1.12,0.12,3.88,3.88,3.62,3.75,2.5,2,3.12,3.38,3.38,3.12,3.12,2.88,3.5,4,3.62,4,2.5,2.25,3.25,3.25,3,2.88,1.62,1,1.38,0.38,1,0,1,0,1.5,0.5,1.75,0.75,1.75,1,1,0,1.62,0.62,1,0,2.62,2.25,3.38,4,2.38,2.25,2.25,2.38,3,3,2.12,2,1.75,0.88,2.62,2.75
Real Estate Sales Agents,41-9022.00,3.38,4,4,4,3.38,3.5,4,4,3.12,3.25,1.12,0.12,3.62,4,3.12,3.25,2.5,2.38,3,3,3.75,3.75,3.75,3.62,3.62,4.12,3.88,3.88,2.62,3,3.5,3.75,3.12,3,1.75,1.25,1.62,0.62,1,0,1,0,1.62,0.62,1.75,1.5,1.75,1.5,1,0,1.75,0.88,1,0,2.12,2,3.25,3.75,2.62,2.75,2.62,3,3.38,3.12,2.12,2.12,1.75,1.38,2.75,2.75
Sales Engineers,41-9031.00,4,4.88,4,4.12,3.75,4,4.12,4.25,3,3.62,2.12,2,4,4,3.75,4.12,3,3.38,2.88,3.5,4,3.88,3.38,3.62,4.12,4.25,3.88,4,3.38,3.75,3.75,3.88,3.88,4,2.75,2.75,2.75,2.88,1.88,1,1,0,1.88,1.38,1.88,1.75,1.62,1,1,0,1.75,1.5,1,0,1.88,1.75,4,4,3.62,3.88,3.5,3.75,3.5,3.12,2.38,2.38,2.25,2.38,2.62,3
Telemarketers,41-9041.00,3.25,3.25,4,3.88,2.5,2.5,4.12,3.75,1.38,0.5,1,0,3,3.12,2,1.62,1.5,0.75,2.25,2.12,3.25,3,2.5,2.25,4.12,3.62,3,2.62,2.25,1.25,3.5,3.12,2.38,2,1.38,0.38,1.25,0.25,1,0,1,0,1.25,0.25,1.25,0.25,1.12,0.12,1,0,1,0,1,0,1.12,0.12,2.38,2.12,1.75,0.88,1.62,0.88,2.38,2.12,1.25,0.25,1.25,0.25,1.62,1.12
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",41-9091.00,3,2.75,3.38,3.12,2.88,2.75,4,3.38,1.88,1.12,1,0,2.88,3.12,2.62,2.62,2.25,2,2.75,2.88,3.75,3.12,3.25,3.12,4,4,3.25,3.38,2.38,2.12,3.62,3.12,2.62,2.25,1.75,1.12,1.75,0.75,1,0,1,0,1.62,0.62,1.38,0.38,1.38,0.62,1,0,1,0,1,0,1.12,0.12,3,2.88,2,1.75,2.12,2,2.75,2.88,1.62,0.88,1.75,1.25,1.88,1.38
First-Line Supervisors of Office and Administrative Support Workers,43-1011.00,4,3.75,4,3.88,3.75,3.75,4,4,2.75,2.75,1,0,3.88,3.88,3.75,3.75,3.62,3.75,4,4,4,3.88,4,3.75,3.62,3.5,3.62,3.62,3.75,3.62,3.62,3.5,3.38,3.25,2.38,2.5,1.5,0.62,1,0,1,0,1.88,1,2.25,2,1.12,0.25,1,0,2,1.38,1,0,2.88,2.75,3.75,3.12,3,3,3.12,3,3.75,3.75,2.5,2.62,2.75,2.62,3.75,3.75
"Switchboard Operators, Including Answering Service",43-2011.00,3,2.88,4,3,2.75,2.38,3.88,2.88,1.88,1.25,1,0,2.75,2.75,2.5,2.25,2,1.88,2.88,2.5,3.5,3,3,2.62,2.38,2.25,2.12,2.12,2,1.88,3.12,2.88,2.5,2.12,1.38,0.5,1,0,1,0,1,0,1.25,0.38,2,1.38,1.75,0.75,1,0,1.5,0.5,1,0,1.62,0.75,2.62,2.12,2,1.62,1.88,0.88,2.75,2.25,1,0,1,0,1.88,1.38
Telephone Operators,43-2021.00,3,2.75,4,3.5,2.38,2.5,4,3.38,1.88,1.38,1,0,3,3.25,2.38,2,2.12,1.88,2.62,2.38,3.25,2.88,2.62,2.25,2.38,2,2.25,1.88,2.12,1.62,3.75,3.38,2.75,2.62,1.5,0.75,1.5,0.5,1,0,1,0,1.62,0.62,1.75,1.12,1.12,0.25,1,0,1,0,1,0,1.12,0.12,2.38,1.88,2,1.5,1.88,1.25,2.5,2,1.5,0.62,1.5,0.5,2,1.5
Bill and Account Collectors,43-3011.00,3.12,3.62,3.88,3.62,3.25,3.12,3.88,3.62,2.62,2.62,1,0,3.12,3.5,2.88,2.75,2.12,2.12,3,2.88,3.38,3,2.88,2.88,3.38,3.62,3,3.12,2.38,2.38,3,2.75,2.88,2.88,1.12,0.25,1,0,1,0,1,0,1.25,0.38,1.88,1,1,0,1,0,1.5,0.5,1,0,1.62,0.88,2.88,2.75,2.25,2.38,2,2,3,2.88,1.5,0.75,1.5,0.5,2.12,2
Billing and Posting Clerks,43-3021.00,3.62,3.38,3.12,3.38,3,2.88,3.12,3.12,3.25,2.88,1.12,0.12,3.12,3.25,2.75,2.62,2.38,2.62,3.12,2.62,2.88,2.62,2.75,2.62,2.12,2.12,2.25,2.25,2.12,2.38,2.88,2.75,2.88,2.62,1.25,0.38,1.25,0.38,1.38,0.5,1,0,2,1.12,1.88,1.38,1.5,1,1.38,0.5,1.62,1,1.5,0.88,1.75,1.12,2.88,2.75,2.25,2.12,2.25,2.25,3.12,2.75,1.5,0.88,1.62,0.88,2.25,2.12
"Bookkeeping, Accounting, and Auditing Clerks",43-3031.00,3.25,3.75,3.25,3.75,3.12,3.12,3.12,3.12,3.38,3.38,1.12,0.12,3.25,3.25,2.75,3.12,2,1.88,3,2.88,2.75,2.75,2.88,2.75,2.25,2.12,2.25,2.38,2.12,2,2.88,2.88,2.88,2.88,1.38,0.38,1.12,0.12,1,0,1,0,1.38,0.38,1.62,0.62,1.12,0.12,1,0,1,0,1,0,1.12,0.12,2.75,2.88,2.12,2.12,2.12,2.12,3,2.88,2,1.75,1.75,0.88,2.12,2
Gambling Cage Workers,43-3041.00,3,3,3.25,3.12,3,3,3.5,3,3.25,2.88,1,0,3,3.25,2.38,2.25,2.38,2.12,3,3,3,3,2.88,2.75,2.88,2.25,2.88,2.62,2.88,2.75,3,3,2.25,2.25,1.12,0.12,1,0,1,0,1,0,1.25,0.38,2.12,1.5,2,1.38,1,0,1.38,0.5,1,0,2,1.75,2.88,2.38,2,1.38,2,1.25,3,2.75,1.88,1,1.5,0.75,2.25,2.25
Payroll and Timekeeping Clerks,43-3051.00,3.88,3.75,3.75,3.38,3.12,3.12,3.12,3.12,3.25,3.12,1,0,3.12,3.12,2.75,2.88,2.25,2.62,3,3,2.88,2.88,2.75,2.12,2,2,2,2,2.25,2.12,3,2.75,3,3,1.25,0.38,1.38,0.38,1,0,1,0,1.88,1,1.88,1,1,0,1,0,1,0,1,0,1.62,0.75,2.88,2.88,2.12,2.25,2,1.88,2.88,3,1.25,0.25,1,0,2,2
Procurement Clerks,43-3061.00,4,4,3.88,4,3.62,3.25,4,3.88,3,2.38,1,0,3.75,3.75,3.25,3.62,2.38,2.38,3.62,3,3.62,3,3.12,2.88,2.88,2.38,2.88,3.5,2.5,2.25,3.12,3,3.5,3.12,1.88,1.25,1.5,0.5,1,0,1,0,1.38,0.62,1.25,0.25,1,0,1,0,1,0,1,0,1.62,0.88,3.5,3.12,2.25,2.38,2.25,2,3,3,2.38,2.62,2.38,2.12,2.75,2.75
Tellers,43-3071.00,3.12,3.25,3.5,3.62,3,3,3.25,3,3,2.75,1,0,3.12,3.25,2.88,3,2.25,2.5,3.12,3.12,3.12,3,2.88,2.75,2.75,2.38,2.5,2.12,2.88,2.88,3.12,3,2.88,2.88,1.12,0.25,1.38,0.5,1,0,1,0,1.25,0.38,2,2,2,1.38,1,0,1.5,0.62,1,0,1.88,1.5,2.88,2.88,2.12,2.12,2.38,2.25,3,2.88,1.62,1,1.5,0.88,2.38,2.25
Brokerage Clerks,43-4011.00,3.75,3.75,3.88,3.88,3.12,3.5,3.88,3.62,3,3.5,1,0,3.38,3.62,3,3,2.62,2.75,3.12,3,3,3,2.88,2.88,2.5,2.12,2.88,2.5,2.5,2,3,3.12,2.88,2.88,1.75,0.75,1,0,1,0,1,0,2,1.75,1.88,1.12,1.12,0.25,1,0,1,0,1,0,1.12,0.12,3,2.88,2.88,2.12,2.5,2.25,3.5,3.12,2,1.25,1.88,1,2.62,2.12
Correspondence Clerks,43-4021.00,3.75,4,3.75,3.88,4,4.12,3.5,3.5,2.75,2.5,1.25,0.25,3.38,3.75,2.75,2.75,2.62,2.38,2.88,2.75,3.12,2.88,2.88,2.88,2.75,2.88,2.62,2.75,2.25,2,3,3,2.88,2.75,1.25,0.25,1.25,0.25,1,0,1,0,1.38,0.38,1.38,0.38,1.12,0.12,1,0,1,0,1,0,1.5,0.5,3.25,3,2.12,2.12,2.12,2.12,3,2.88,1.38,0.38,1.5,0.5,2.25,2.25
"Court, Municipal, and License Clerks",43-4031.00,3.38,3.62,3.62,3.62,3.38,3.5,3.62,3.62,2.38,2.12,1.12,0.12,3.25,3.38,2.62,2.62,2.5,2.62,3,2.88,3.25,2.75,3,3,2.38,2.12,2.12,2.25,2.38,2.38,3.12,3,2.88,2.62,1.25,0.38,1.5,0.75,1.38,0.5,1,0,1.75,0.88,1.75,1.12,1.5,0.75,1.25,0.25,1.25,0.5,1.25,0.25,1.75,1.12,3,2.62,2.5,2.25,2.25,2.25,3.12,3,1.75,1.25,1.5,1,2.75,2.62
"Credit Authorizers, Checkers, and Clerks",43-4041.00,3.62,3.63,4.12,3.81,3.44,3.44,3.88,3.56,2.25,1.75,1.12,0.12,3.56,3.5,3.12,3,2.37,2.25,3.06,3,3.31,2.94,3.06,3,2.69,2.56,2.94,2.56,2.31,2.88,2.62,2.81,3.06,3.06,1,0,1,0,1,0,1,0,1.19,0.38,1.06,0.06,1,0,1,0,1,0,1,0,1,0,3.37,3.25,2.25,2.06,2.31,2.12,3.19,2.88,1.44,0.69,1.31,0.44,2.44,2.31
Customer Service Representatives,43-4051.00,3.38,3.12,4,4,3,3,3.88,3.75,2.25,2.25,1,0,3.25,3.5,2.88,2.88,2.62,2.88,3,3,3,3,2.88,3,3,3,3,3,2.75,2.88,4,3.62,3.12,3,1.62,0.62,1.88,0.88,1,0,1,0,1.5,0.62,1.75,1,1,0,1,0,1,0,1,0,1.12,0.12,2.88,3,2.25,2.12,2.25,2.12,3.12,3,1.38,0.5,1.38,0.5,2.38,2.12
"Eligibility Interviewers, Government Programs",43-4061.00,3.88,4,4,4.12,3.75,3.88,4.25,4.25,2.25,2.25,1.25,0.25,3.5,3.62,3.12,3.25,2.5,2.25,3.12,3.12,3.75,3.88,3.12,3,2.88,2.88,3,2.88,2.12,2.38,3.62,3.62,3.12,3,1,0,1.25,0.25,1,0,1,0,1.25,0.25,1.5,0.5,1,0,1,0,1,0,1,0,1,0,3.25,3.25,2.12,2.38,2.25,2.25,3,3,1.12,0.12,1,0,2.25,1.88
